Name,Description
Small_Council,High-ranking advisors to the king
Military_Leadership,Senior commanders of the kingdom’s forces
Regional_Wardens,Governors of the kingdom’s major regions
Knighthood,Sworn swords and fighters of the realm
Castle_Administration,Overseers of castle operations and logistics
Scholarly_Order,Learned advisors and healers
Covert_Operatives,Spies and assassins working in the shadows
Guard_Forces,Protectors of cities and castles
Support_Staff,Workers maintaining daily operations
Diplomacy_Corps,Negotiators managing external relations
