Role_Group_Name,User_Group_Name
Regional_Wardens,House_Stark
Knighthood,House_Stark
Military_Leadership,Nights_Watch
Guard_Forces,Nights_Watch
Small_Council,House_Lannister
Knighthood,House_Lannister
Regional_Wardens,House_Targaryen
Diplomacy_Corps,House_Targaryen
Military_Leadership,House_Targaryen
Regional_Wardens,House_Baratheon
Knighthood,House_Baratheon
Diplomacy_Corps,House_Tyrell
Knighthood,House_Tyrell
Military_Leadership,House_Greyjoy
Covert_Operatives,House_Greyjoy
Regional_Wardens,House_Arryn
Castle_Administration,House_Arryn
Regional_Wardens,House_Martell
Knighthood,House_Martell
Knighthood,Kingsguard
Scholarly_Order,Maesters
Guard_Forces,City_Watch
Knighthood,Brotherhood_Without_Banners
Covert_Operatives,Brotherhood_Without_Banners
Guard_Forces,Faith_Militant
Knighthood,Dothraki
