Role_Name,Permission_Name
Hand_of_the_King,Manage_Treasury
Hand_of_the_King,Create_Laws
Hand_of_the_King,Update_Laws
Hand_of_the_King,Command_Army
Hand_of_the_King,Sign_Treaties
Hand_of_the_King,Appoint_Officials
Master_of_Coin,Manage_Treasury
Master_of_Coin,View_Treasury
Master_of_Coin,Update_Treasury_Records
Master_of_Coin,Audit_Treasury
Master_of_Laws,Create_Laws
Master_of_Laws,Read_Laws
Master_of_Laws,Update_Laws
Master_of_Laws,Repeal_Laws
Master_of_Laws,Imprison_Criminals
Master_of_Whisperers,Read_Reports
Master_of_Whisperers,Intercept_Ravens
Master_of_Whisperers,Send_Ravens
Master_of_Ships,Command_Army
Master_of_Ships,Deploy_Guards
Master_of_Ships,View_Military_Reports
Lord_Commander,Command_Army
Lord_Commander,Deploy_Guards
Lord_Commander,Train_Soldiers
Lord_Commander,View_Military_Reports
Warden_of_the_North,Command_Army
Warden_of_the_North,Deploy_Guards
Warden_of_the_North,Imprison_Criminals
Warden_of_the_North,Inspect_Fields
Warden_of_the_South,Command_Army
Warden_of_the_South,Deploy_Guards
Warden_of_the_South,Imprison_Criminals
Warden_of_the_South,Inspect_Fields
Warden_of_the_East,Command_Army
Warden_of_the_East,Deploy_Guards
Warden_of_the_East,Imprison_Criminals
Warden_of_the_East,Inspect_Fields
Warden_of_the_West,Command_Army
Warden_of_the_West,Deploy_Guards
Warden_of_the_West,Imprison_Criminals
Warden_of_the_West,Inspect_Fields
Knight,Deploy_Guards
Knight,Train_Soldiers
Knight,View_Military_Reports
Kingsguard,Deploy_Guards
Kingsguard,Train_Soldiers
Kingsguard,Execute_Prisoners
Castellan,Manage_Castle
Castellan,Update_Castle_Defenses
Castellan,View_Castle_Logs
Steward,Manage_Castle
Steward,View_Castle_Logs
Steward,Send_Ravens
Maester,Read_Reports
Maester,Send_Ravens
Maester,Inspect_Fields
Grand_Maester,Read_Reports
Grand_Maester,Send_Ravens
Grand_Maester,Read_Council_Minutes
Captain_of_the_Guard,Deploy_Guards
Captain_of_the_Guard,Imprison_Criminals
Captain_of_the_Guard,Release_Prisoners
Assassin,Execute_Prisoners
Assassin,Read_Reports
Ranger,View_Military_Reports
Ranger,Inspect_Fields
Scout,Read_Reports
Scout,Intercept_Ravens
Ravenmaster,Send_Ravens
Ravenmaster,Intercept_Ravens
Treasurer,View_Treasury
Treasurer,Update_Treasury_Records
Lawkeeper,Read_Laws
Lawkeeper,Imprison_Criminals
Diplomat,Sign_Treaties
Diplomat,Update_Treaties
Diplomat,Break_Treaties
Servant,View_Castle_Logs
Servant,Inspect_Fields
