Role_Name,Role_Group_Name
Hand_of_the_King,Small_Council
Master_of_Coin,Small_Council
Master_of_Laws,Small_Council
Master_of_Whisperers,Small_Council
Master_of_Ships,Military_Leadership
Lord_Commander,Military_Leadership
Warden_of_the_North,Regional_Wardens
Warden_of_the_South,Regional_Wardens
Warden_of_the_East,Regional_Wardens
Warden_of_the_West,Regional_Wardens
Knight,Knighthood
Kingsguard,Knighthood
Castellan,Castle_Administration
Steward,Castle_Administration
Maester,Scholarly_Order
Grand_Maester,Scholarly_Order
Captain_of_the_Guard,Guard_Forces
Assassin,Covert_Operatives
Ranger,Guard_Forces
Scout,Covert_Operatives
Ravenmaster,Support_Staff
Treasurer,Support_Staff
Lawkeeper,Guard_Forces
Diplomat,Diplomacy_Corps
Servant,Support_Staff
