Role_Name,User_Group_Name
Warden_of_the_North,House_Stark
Knight,House_Stark
Lord_Commander,Nights_Watch
Ranger,Nights_Watch
Hand_of_the_King,House_Lannister
Knight,House_Lannister
Kingsguard,House_Lannister
Warden_of_the_East,House_Targaryen
Diplomat,House_Targaryen
Master_of_Ships,House_Targaryen
Warden_of_the_South,House_Baratheon
Knight,House_Baratheon
Master_of_Ships,House_Baratheon
Diplomat,House_Tyrell
Knight,House_Tyrell
Master_of_Ships,House_Greyjoy
Scout,House_Greyjoy
Warden_of_the_East,House_Arryn
Steward,House_Arryn
Warden_of_the_South,House_Martell
Knight,House_Martell
Kingsguard,Kingsguard
Maester,Maesters
Captain_of_the_Guard,City_Watch
Knight,Brotherhood_Without_Banners
Assassin,Brotherhood_Without_Banners
Lawkeeper,Faith_Militant
Knight,Dothraki
