Username,Role_Group_Name
JonSnow,Military_Leadership
JonSnow,Regional_Wardens
AryaStark,Covert_Operatives
SansaStark,Castle_Administration
NedStark,Regional_Wardens
BranStark,Scholarly_Order
RobbStark,Regional_Wardens
CerseiLannister,Small_Council
TyrionLannister,Small_Council
TyrionLannister,Diplomacy_Corps
JaimeLannister,Knighthood
TywinLannister,Small_Council
LancelLannister,Knighthood
DaenerysTargaryen,Regional_Wardens
DaenerysTargaryen,Diplomacy_Corps
JorahMormont,Knighthood
ViserysTargaryen,Regional_Wardens
Missandei,Diplomacy_Corps
GreyWorm,Guard_Forces
RobertBaratheon,Regional_Wardens
StannisBaratheon,Regional_Wardens
StannisBaratheon,Military_Leadership
RenlyBaratheon,Knighthood
BrienneTarth,Knighthood
MargaeryTyrell,Diplomacy_Corps
OlennaTyrell,Diplomacy_Corps
LorasTyrell,Knighthood
TheonGreyjoy,Covert_Operatives
YaraGreyjoy,Military_Leadership
BalonGreyjoy,Military_Leadership
RobinArryn,Regional_Wardens
LysaArryn,Castle_Administration
PetyrBaelish,Small_Council
PetyrBaelish,Covert_Operatives
OberynMartell,Knighthood
DoranMartell,Regional_Wardens
EllariaSand,Covert_Operatives
SandorClegane,Knighthood
GregorClegane,Knighthood
SamTarly,Scholarly_Order
JeorMormont,Military_Leadership
TormundGiantsbane,Guard_Forces
Ygritte,Guard_Forces
Varys,Small_Council
Varys,Covert_Operatives
DavosSeaworth,Military_Leadership
Melisandre,Scholarly_Order
Bronn,Covert_Operatives
Gendry,Knighthood
PodrickPayne,Knighthood
HotPie,Support_Staff
BericDondarrion,Knighthood
ThorosMyr,Scholarly_Order
RamsayBolton,Guard_Forces
RooseBolton,Regional_Wardens
Qyburn,Scholarly_Order
