Username,Role_Name
JonSnow,Lord_Commander
JonSnow,Warden_of_the_North
AryaStark,Assassin
SansaStark,Steward
NedStark,Warden_of_the_North
BranStark,Maester
RobbStark,Warden_of_the_North
CerseiLannister,Hand_of_the_King
TyrionLannister,Master_of_Coin
TyrionLannister,Diplomat
JaimeLannister,Kingsguard
TywinLannister,Hand_of_the_King
LancelLannister,Knight
DaenerysTargaryen,Warden_of_the_East
DaenerysTargaryen,Diplomat
JorahMormont,Knight
ViserysTargaryen,Warden_of_the_East
Missandei,Diplomat
GreyWorm,Captain_of_the_Guard
RobertBaratheon,Warden_of_the_South
StannisBaratheon,Warden_of_the_South
StannisBaratheon,Master_of_Ships
RenlyBaratheon,Knight
BrienneTarth,Knight
MargaeryTyrell,Diplomat
OlennaTyrell,Diplomat
LorasTyrell,Knight
TheonGreyjoy,Scout
YaraGreyjoy,Master_of_Ships
BalonGreyjoy,Master_of_Ships
RobinArryn,Warden_of_the_East
LysaArryn,Steward
PetyrBaelish,Master_of_Whisperers
PetyrBaelish,Diplomat
OberynMartell,Knight
DoranMartell,Warden_of_the_South
EllariaSand,Assassin
SandorClegane,Knight
GregorClegane,Kingsguard
SamTarly,Maester
JeorMormont,Lord_Commander
TormundGiantsbane,Ranger
Ygritte,Ranger
Varys,Master_of_Whisperers
DavosSeaworth,Master_of_Ships
Melisandre,Maester
Bronn,Assassin
Gendry,Knight
PodrickPayne,Knight
HotPie,Servant
BericDondarrion,Knight
ThorosMyr,Maester
RamsayBolton,Lawkeeper
RooseBolton,Warden_of_the_North
Qyburn,Grand_Maester
