Username,User_Group_Name
JonSnow,House_Stark
JonSnow,Nights_Watch
AryaStark,House_Stark
SansaStark,House_Stark
NedStark,House_Stark
BranStark,House_Stark
RobbStark,House_Stark
CerseiLannister,House_Lannister
TyrionLannister,House_Lannister
JaimeLannister,House_Lannister
JaimeLannister,Kingsguard
TywinLannister,House_Lannister
LancelLannister,House_Lannister
LancelLannister,Faith_Militant
DaenerysTargaryen,House_Targaryen
DaenerysTargaryen,Dothraki
JorahMormont,House_Targaryen
ViserysTargaryen,House_Targaryen
Missandei,House_Targaryen
GreyWorm,House_Targaryen
RobertBaratheon,House_Baratheon
StannisBaratheon,House_Baratheon
RenlyBaratheon,House_Baratheon
BrienneTarth,House_Baratheon
MargaeryTyrell,House_Tyrell
OlennaTyrell,House_Tyrell
LorasTyrell,House_Tyrell
TheonGreyjoy,House_Greyjoy
YaraGreyjoy,House_Greyjoy
BalonGreyjoy,House_Greyjoy
RobinArryn,House_Arryn
LysaArryn,House_Arryn
PetyrBaelish,House_Arryn
OberynMartell,House_Martell
DoranMartell,House_Martell
EllariaSand,House_Martell
SandorClegane,House_Lannister
GregorClegane,House_Lannister
GregorClegane,Kingsguard
SamTarly,Nights_Watch
SamTarly,Maesters
JeorMormont,Nights_Watch
TormundGiantsbane,Nights_Watch
Ygritte,Nights_Watch
Varys,House_Targaryen
DavosSeaworth,House_Baratheon
Melisandre,House_Baratheon
Bronn,House_Lannister
Gendry,House_Baratheon
PodrickPayne,House_Lannister
HotPie,Brotherhood_Without_Banners
BericDondarrion,Brotherhood_Without_Banners
ThorosMyr,Brotherhood_Without_Banners
RamsayBolton,House_Stark
RooseBolton,House_Stark
Qyburn,Maesters
